updated_url,doi
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04406,https://doi.org/10.3886/ICPSR04406.v2
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04409,https://doi.org/10.3886/ICPSR04409.v1
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04411,https://doi.org/10.3886/ICPSR04411.v1
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04412,https://doi.org/10.3886/ICPSR04412.v3
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04414,https://doi.org/10.3886/ICPSR04414.v1
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04417,https://doi.org/10.3886/ICPSR04417.v1
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04418,https://doi.org/10.3886/ICPSR04418.v1
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04419,https://doi.org/10.3886/ICPSR04419.v2
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04420,https://doi.org/10.3886/ICPSR04420.v2
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04421,https://doi.org/10.3886/ICPSR04421.v2
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04422,https://doi.org/10.3886/ICPSR04422.v2
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04423,https://doi.org/10.3886/ICPSR04423.v2
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04424,https://doi.org/10.3886/ICPSR04424.v2
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04425,https://doi.org/10.3886/ICPSR04425.v2
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04428,https://doi.org/10.3886/ICPSR04428.v1
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04270,https://doi.org/10.3886/ICPSR04270.v1
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04272,https://doi.org/10.3886/ICPSR04272.v2
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04273,https://doi.org/10.3886/ICPSR04273.v1
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04274,https://doi.org/10.3886/ICPSR04274.v1
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04275,https://doi.org/10.3886/ICPSR04275.v1
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04277,https://doi.org/10.3886/ICPSR04277.v1
https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/04279,https://doi.org/10.3886/ICPSR04279.v1
